,comp_0,comp_1,cuantos,edo_civil
0,-0.20318152335742237,-0.1914391634961335,2,0
1,-0.2806380744644799,-0.335499805699095,6,0
2,-0.3580946255715381,-0.47956044790206864,3,0
3,-0.4355511766785952,-0.6236210901050404,9,0
4,-0.5130077277856542,-0.7676817323080106,12,0
5,-0.5904642788927127,-0.9117423745109815,5,0
6,-0.667920829999771,-1.0558030167139523,12,0
7,-0.7453773811068294,-1.1998636589169231,5,0
8,-0.8228339322138882,-1.3439243011198936,9,0
9,-0.9002904833209464,-1.487984943322864,5,0
10,-0.9777470344280048,-1.6320455855258351,10,0
11,-1.0552035855350637,-1.776106227728805,1,0
12,-1.0317459945112217,-0.07554729187333764,9,0
13,-1.10920254561828,-0.21960793407630813,11,0
14,-1.1866590967253385,-0.3636685762792788,15,0
15,-1.2641156478323967,-0.5077292184822494,12,0
16,-1.3415721989394551,-0.6517898606852205,19,0
17,-1.419028750046514,-0.7958505028881909,12,0
18,-1.4964853011535726,-0.9399111450911618,19,0
19,-1.5739418522606308,-1.083971787294132,10,0
20,-1.6513984033676896,-1.2280324294971032,12,0
21,-1.7288549544747476,-1.3720930717000739,8,0
22,-1.806311505581806,-1.5161537139030443,11,0
23,-1.8837680566888646,-1.6602143561060152,2,0
24,-1.8603104656650231,0.04034457974945371,6,0
25,-1.9377670167720815,-0.10371606245351714,8,0
26,-2.01522356787914,-0.24777670465648732,5,0
27,-2.0926801189861983,-0.3918373468594587,6,0
28,-2.1701366700932563,-0.5358979890624295,12,0
29,-2.247593221200315,-0.6799586312654,13,0
30,-2.3250497723073744,-0.8240192734683706,7,0
31,-2.4025063234144324,-0.9680799156713412,7,0
32,-2.479962874521491,-1.1121405578743118,11,0
33,-2.557419425628549,-1.2562012000772824,5,0
34,-2.6348759767356076,-1.400261842280253,1,0
35,-2.7123325278426664,-1.5443224844832233,3,0
36,-0.12454412936662893,0.3125472608098097,6,0
37,-0.20200068047368708,0.16848661860683875,5,0
38,-0.27945723158074565,0.024425976403868156,22,0
39,-0.3569137826878037,-0.11963466579910277,10,0
40,-0.4343703337948628,-0.26369530800207297,13,0
41,-0.5118268849019209,-0.40775595020504385,9,0
42,-0.5892834360089796,-0.5518165924080144,16,0
43,-0.666739987116038,-0.6958772346109848,16,0
44,-0.7441965382230965,-0.8399378768139557,7,0
45,-0.8216530893301548,-0.9839985190169264,7,0
46,-0.8991096404372131,-1.1280591612198974,12,0
47,-0.9765661915442718,-1.272119803422868,4,0
48,-0.95310860052043,0.42843913243260034,15,0
49,-1.0305651516274883,0.28437849022962935,8,0
50,-1.1080217027345467,0.1403178480266588,19,0
51,-1.1854782538416053,-0.003742794176311467,15,0
52,-1.2629348049486637,-0.1478034363792822,13,0
53,-1.3403913560557221,-0.2918640785822531,18,0
