,edad,edo_civil,escolaridad,hora,mes,mpio,parentesco,cuantos
78,51,CASADO,LICENCIATURA,M,1,MONTERREY,NINGUNO,1
79,24,CASADO,SECUNDARIA,M,1,MONTERREY,NINGUNO,1
80,41,CASADO,SECUNDARIA,T,1,SABINAS HIDALGO,NINGUNO,1
81,22,SOLTERO,SECUNDARIA,T,1,SALINAS VICTORIA,NINGUNO,1
82,38,CASADO,SECUNDARIA,N,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,1
83,27,CASADO,PREPARATORIA,N,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,1
84,37,SOLTERO,PREPARATORIA,M,1,SAN NICOLÁS DE LOS GARZA,CONCUBINO,1
85,46,CASADO,LICENCIATURA,T,1,SAN PEDRO GARZA GARCÍA,ESPOSO,1
86,54,SOLTERO,PREPARATORIA,N,1,SANTA CATARINA,EXESPOSO,1
87,18,CASADO,PRIMARIA,T,1,SANTA CATARINA,NINGUNO,1
88,33,CASADO,TÉCNICO,N,1,SANTA CATARINA,ESPOSO,1
89,36,SOLTERO,SECUNDARIA,N,1,SANTA CATARINA,EXESPOSO,1
90,11,SOLTERO,PRIMARIA,T,1,ESCOBEDO,HIJO,1
91,45,CASADO,SECUNDARIA,T,1,ESCOBEDO,ESPOSO,1
92,13,SOLTERO,SECUNDARIA,N,1,JUÁREZ,PADRASTRO,1
93,35,CASADO,SECUNDARIA,N,1,JUÁREZ,CONCUBINO,1
94,48,SOLTERO,LICENCIATURA,N,1,MONTERREY,CONCUÑA,1
95,49,CASADO,LICENCIATURA,N,1,MONTERREY,HERMANO,1
96,66,CASADO,PRIMARIA,N,1,MONTERREY,HIJO,1
97,34,CASADO,SECUNDARIA,N,1,CADEREYTA JIMÉNEZ,NINGUNO,1
98,24,CASADO,PRIMARIA,T,1,ESCOBEDO,CONCUBINO,1
99,33,SOLTERO,SECUNDARIA,N,1,ESCOBEDO,CONCUBINO,1
100,43,CASADO,SECUNDARIA,T,1,GARCÍA,NINGUNO,1
101,33,CASADO,SECUNDARIA,M,1,GARCÍA,CONCUBINO,1
102,35,CASADO,PREPARATORIA,N,1,GUADALUPE,CONCUBINO,1
103,26,CASADO,PREPARATORIA,T,1,GUADALUPE,ESPOSO,1
104,32,CASADO,SECUNDARIA,T,1,JUÁREZ,CONCUBINO,1
105,52,CASADO,SECUNDARIA,N,1,JUÁREZ,ESPOSO,1
106,22,CASADO,PRIMARIA,T,1,JUÁREZ,NINGUNO,1
107,43,CASADO,LICENCIATURA,M,1,JUÁREZ,ESPOSO,1
108,35,CASADO,PREPARATORIA,N,1,JUÁREZ,ESPOSO,1
109,75,CASADO,SECUNDARIA,N,1,MONTERREY,PADRE,1
110,57,CASADO,POSGRADO,N,1,MONTERREY,NINGUNO,1
