edad_a,edad_v,escolaridad,hora,mes,mpio,parentesco,sexo_a,sexo_v
35,33,TÉCNICO,2,1,SANTA CATARINA,ESPOSO,0,1
34,36,SECUNDARIA,2,1,SANTA CATARINA,EXESPOSO,0,1
51,34,SECUNDARIA,2,1,CADEREYTA JIMÉNEZ,NINGUNO,0,1
28,24,PRIMARIA,1,1,ESCOBEDO,CONCUBINO,0,1
34,33,SECUNDARIA,2,1,ESCOBEDO,CONCUBINO,0,1
24,43,SECUNDARIA,1,1,GARCÍA,NINGUNO,0,1
35,33,SECUNDARIA,0,1,GARCÍA,CONCUBINO,0,1
32,35,PREPARATORIA,2,1,GUADALUPE,CONCUBINO,0,1
25,26,PREPARATORIA,1,1,GUADALUPE,ESPOSO,0,1
33,32,SECUNDARIA,1,1,JUÁREZ,CONCUBINO,0,1
44,52,SECUNDARIA,2,1,JUÁREZ,ESPOSO,0,1
28,22,PRIMARIA,1,1,JUÁREZ,NINGUNO,0,1
33,43,LICENCIATURA,0,1,JUÁREZ,ESPOSO,0,1
28,35,PREPARATORIA,2,1,JUÁREZ,ESPOSO,0,1
23,75,SECUNDARIA,2,1,MONTERREY,PADRE,0,0
56,57,POSGRADO,2,1,MONTERREY,NINGUNO,0,1
28,26,LICENCIATURA,1,1,MONTERREY,ESPOSO,0,1
34,30,SECUNDARIA,1,1,MONTERREY,NINGUNO,0,0
25,26,SECUNDARIA,1,1,MONTERREY,CONCUBINO,0,1
37,33,SECUNDARIA,0,1,SANTA CATARINA,ESPOSO,0,1
64,61,PRIMARIA,1,1,SANTA CATARINA,NINGUNO,0,1
40,25,SECUNDARIA,2,1,SANTA CATARINA,CONCUBINO,0,1
33,35,PREPARATORIA,2,1,SANTIAGO,NINGUNO,0,1
23,23,SECUNDARIA,0,1,ALLENDE,ESPOSO,0,1
50,46,TÉCNICO,0,1,APODACA,ESPOSO,0,1
29,39,SECUNDARIA,2,1,CIÉNEGA DE FLORES,NINGUNO,0,1
46,43,SECUNDARIA,1,1,EL CARMEN,ESPOSO,0,1
45,38,SECUNDARIA,1,1,ESCOBEDO,ESPOSO,1,0
59,57,PRIMARIA,1,1,ESCOBEDO,ESPOSO,0,1
53,53,SECUNDARIA,1,1,ESCOBEDO,ESPOSO,0,1
27,25,SECUNDARIA,2,1,ESCOBEDO,CONCUBINO,0,1
33,34,TÉCNICO,1,1,GARCÍA,ESPOSO,0,1
24,25,PREPARATORIA,1,1,GARCÍA,ESPOSO,0,1
23,23,SECUNDARIA,1,1,GUADALUPE,NINGUNO,0,1
38,39,TÉCNICO,1,1,GUADALUPE,EXESPOSO,0,1
22,42,SECUNDARIA,1,1,GUADALUPE,NINGUNO,0,1
28,28,LICENCIATURA,1,1,GUADALUPE,NINGUNO,0,1
33,38,PREPARATORIA,0,1,JUÁREZ,ESPOSO,0,1
33,23,PREPARATORIA,1,1,JUÁREZ,ESPOSO,0,1
20,23,PREPARATORIA,2,1,MONTERREY,NINGUNO,0,1
48,44,TÉCNICO,2,1,MONTERREY,NINGUNO,0,1
26,26,PRIMARIA,0,1,MONTERREY,CONCUBINO,0,1
42,37,PRIMARIA,2,1,MONTERREY,NINGUNO,0,1
